iter 0 took    33 ms
iter 1 took    46 ms
iter 2 took    47 ms
iter 3 took    42 ms
iter 4 took    38 ms
iter 5 took    30 ms
iter 6 took    25 ms
iter 7 took    24 ms
iter 8 took    21 ms
iter 9 took    20 ms
iter 10 took    19 ms
iter 11 took    18 ms
iter 12 took    18 ms
iter 13 took    19 ms
iter 14 took    16 ms
iter 15 took    16 ms
iter 16 took    16 ms
iter 17 took    14 ms
iter 18 took    14 ms
iter 19 took    13 ms
iter 20 took    13 ms
iter 21 took    11 ms
iter 22 took    12 ms
iter 23 took    10 ms
iter 24 took    10 ms
iter 25 took     9 ms
iter 26 took     8 ms
iter 27 took     7 ms
iter 28 took     7 ms
iter 29 took     5 ms
iter 30 took     5 ms
iter 31 took     5 ms
iter 32 took     4 ms
iter 33 took     6 ms
iter 34 took     5 ms
iter 35 took     5 ms
iter 36 took     4 ms
iter 37 took     4 ms
iter 38 took     4 ms
iter 39 took     4 ms
iter 40 took     4 ms
iter 41 took     5 ms
iter 42 took     8 ms
